showID,csoonID
21063,47784
25223,49295
28631,50471
30725,51035
33975,52203
35250,52820
37844,54145
38649,54501
40103,55138
40442,55270
40700,55371
40860,55412
41385,55604
41594,55658
41782,55751
42191,55938
42377,56031
42478,56088
42646,56130
42623,56181
42762,56229
42763,56230
42834,56259
42646,56287
43000,56336
43022,56353
43031,56355
43105,56386
43433,56535
43432,56536
43391,56571
43547,56609
43619,56636
43618,56637
43391,56645
43871,56699
43874,56700
43876,56701
44018,56822
44089,56882
44368,56996
44403,57021
44476,57048
44512,57060
44630,57119
44706,57145
44721,57146
44726,57147
44727,57148
44728,57149
44779,57187
44786,57189
44858,57239
44955,57249
45122,57332
45129,57333
45517,57519
45329,57551
45379,57563
45731,57584
45723,57587
45735,57588
45749,57617
45855,57668
45966,57695
46095,57738
46100,57739
46343,57776
46325,57830
46365,57831
46354,57845
46420,57873
46435,57884
53247,57885
46355,57925
46696,57946
46771,57983
46649,58015
46875,58018
46912,58026
46967,58061
47058,58089
47146,58139
47224,58166
47281,58168
47269,58186
47334,58199
47413,58215
47449,58221
47517,58226
47490,58235
47534,58256
47541,58258
47551,58267
47536,58277
47542,58282
47078,58297
47545,58298
47546,58299
47547,58300
47076,58301
47079,58302
47081,58303
47528,58304
47622,58312
47627,58318
47629,58319
47640,58329
47642,58330
47641,58331
47637,58334
47653,58339
47610,58342
47666,58350
47674,58352
47696,58366
47699,58367
47672,58370
47676,58371
47706,58378
47701,58382
47740,58386
47767,58393
47739,58394
47729,58396
47734,58397
47739,58398
47771,58401
47762,58406
47761,58407
47763,58408
47787,58411
47768,58412
47794,58413
47818,58434
47804,58435
47863,58436
47879,58437
47803,58439
47886,58440
47880,58441
47867,58442
47853,58443
47820,58445
47841,58452
47871,58462
47889,58463
47885,58464
47896,58471
47913,58477
47919,58478
47920,58479
47875,58480
47877,58481
47917,58482
47921,58485
47910,58486
47899,58491
47957,58494
49178,58495
47854,58498
47952,58500
47990,58502
47938,58503
47956,58508
48030,58512
48036,58513
48016,58514
47997,58518
47969,58523
48022,58526
48024,58527
49074,58528
48068,58529
48063,58531
47989,58532
48028,58538
48035,58539
48029,58540
48057,58541
47996,58542
48014,58548
48017,58550
48045,58556
48044,58557
48073,58561
48095,58562
48094,58563
47960,58565
48069,58571
48122,58573
48070,58574
48142,58577
48147,58578
48111,58582
48058,58584
48065,58585
48132,58586
48127,58587
48123,58594
48169,58596
48140,58608
48152,58612
48162,58617
48150,58623
48204,58627
48221,58629
48215,58631
48216,58632
48228,58641
48209,58645
48247,58647
48211,58648
48222,58649
48223,58654
48259,58655
48262,58656
48123,58657
48276,58659
48248,58665
48046,58672
48307,58681
48323,58686
48324,58687
48293,58690
48338,58695
49170,58696
48336,58699
48341,58702
48351,58707
48358,58708
48339,58709
48355,58712
48371,58719
48413,58722
48402,58723
48396,58727
48567,58734
48468,58741
48509,58744
48583,58746
48566,58754
48618,58755
48610,58757
48613,58758
48700,58759
48605,58760
48589,58766
48623,58770
48633,58771
48634,58772
48635,58773
48637,58774
48638,58775
48681,58779
48683,58781
48645,58786
48711,58787
48694,58788
48698,58797
48719,58799
48671,58801
48677,58802
48682,58808
48722,58813
48721,58814
48750,58828
48732,58829
48808,58836
48802,58837
48760,58840
48776,58847
48704,58849
48820,58850
48893,58851
48816,58852
48857,58853
48780,58857
48866,58861
48892,58864
48897,58865
48898,58866
48899,58867
48900,58868
48901,58869
48884,58870
48845,58872
48881,58873
48912,58875
48916,58876
48910,58877
48911,58878
48909,58879
48878,58883
48944,58885
48942,58889
48945,58890
48939,58892
48566,58893
48895,58898
48968,58899
48954,58905
48915,58908
48987,58909
49020,58911
48984,58912
48822,58913
48823,58914
48824,58915
48825,58916
48827,58917
48828,58918
48829,58919
48830,58920
48992,58921
48995,58922
48996,58923
48997,58924
48999,58925
49005,58926
49006,58927
48906,58929
48952,58932
49078,58935
49079,58936
49080,58937
49081,58938
49083,58940
49000,58946
48993,58947
49003,58948
49041,58949
49002,58950
49046,58951
49051,58956
49054,58958
49057,58959
49092,58960
49093,58961
49047,58964
49115,58966
49104,58973
49117,58974
49130,58983
49107,58984
49114,58985
49158,58986
49175,58987
49156,58992
49116,58995
49120,58997
49128,59000
49127,59003
49159,59004
49179,59005
49174,59006
49163,59008
49234,59018
49192,59019
49165,59021
49211,59023
49263,59025
49253,59026
49246,59027
49270,59034
49265,59036
48566,59040
49277,59044
49324,59049
49279,59053
49305,59054
49304,59055
49370,59057
49349,59061
49356,59063
49344,59064
49315,59066
49316,59067
49319,59068
49320,59069
49322,59071
49354,59072
49347,59073
49326,59076
49328,59078
49376,59080
49390,59081
49348,59082
49355,59083
49341,59091
49373,59094
49387,59099
49342,59101
49279,59105
49362,59106
49306,59107
49363,59108
49406,59109
49392,59119
49426,59120
49380,59122
49379,59123
49420,59124
49463,59129
49454,59131
49446,59132
49519,59133
49478,59134
49282,59137
49456,59144
49341,59149
49482,59155
49517,59162
49497,59169
49515,59174
49570,59182
48566,59195
49590,59196
49593,59197
49644,59203
49603,59204
49612,59214
49667,59224
49704,59225
49698,59228
49690,59229
49721,59230
49726,59231
49693,59232
49341,59233
49611,59234
49639,59235
49723,59236
49618,59237
49730,59238
49731,59239
49674,59240
49787,59241
49749,59242
49742,59243
49697,59244
49701,59245
49733,59246
48421,59247
49717,59248
49676,59249
49673,59250
49725,59251
49744,59252
49722,59253
49788,59254
49791,59255
49772,59256
49762,59257
49863,59258
49766,59259
49757,59260
49739,59261
49740,59262
49743,59263
49748,59264
49736,59265
49741,59266
49782,59267
49806,59268
49804,59269
49805,59270
49793,59271
49735,59272
49800,59273
49802,59274
49752,59275
49753,59276
49814,59277
49821,59278
49828,59279
49826,59280
49760,59281
49764,59282
49756,59283
49818,59284
49792,59285
49794,59286
49796,59287
49795,59288
49798,59289
49852,59290
49853,59291
49884,59292
49613,59293
49815,59294
49816,59295
49819,59296
49820,59297
49822,59299
49875,59300
49746,59301
49747,59302
49547,59303
49641,59304
49803,59305
49888,59306
49899,59307
49883,59309
49839,59310
49850,59311
49868,59314
49926,59315
49920,59316
49874,59317
49902,59318
