45517,https://image.toast.com/aaaaab/ticketlink/TKL_2/15010394_p.gif,2015 심현보 소극장 콘서트<이맘때쯤> 티켓오픈 안내,,,,,,,,,,,공연설명 없음
45731,https://image.toast.com/aaaaab/ticketlink/TKL_4/ct122_main1214.jpg,[단독판매]122회 클럽 투어 온라인 특가 티켓오픈안내,,2015.12.26,2015.12.27,,,,,,,,"<입장 안내>
• 현장에 설치되는 티켓 부스에서 신분증 확인 및 입장밴드 교환 이후 클럽 입장이 가능합니다.
(티켓 미소지시 입장밴드 교환 및 입장 불가 합니다.)
• 예매 티켓 교환 시, 예매자의 신분증과 예매 확인증 등 예매 증빙자료를 지참하셔야 수령 가능합니다.
(예매자 및 동반인 모두 반드시 지참하셔야 합니다.)
• 티켓 1매당 1인 입장 가능하며, 해당 회차에만 사용 가능합니다.
• 티켓과 입장밴드는 어떠한 사유로도(분실, 도난, 훼손, 현장 미소지 등) 재발행이 불가하오니 관리에 유의하여 주시기 바랍니다.
• 불법 입장밴드 거래 방지를 위해 파손된 입장밴드는 재입장이 불가합니다.
• 주류 및 생수를 포함한 모든 종류의 음료 및 음식물은 반입이 금지됩니다.
<티켓 취소 및 환불>
• 티켓의 취소 및 환불은 티켓 반송처에 티켓 반송이 확인 되어야 접수가 가능합니다.
• 티켓의 취소 및 환불을 원하실 경우 배송 받으신 티켓과 예매자분의 계좌정보(은행명, 계좌번호, 예금주)를 작성 및 동봉하신 후
취소 마감시간 전까지 티켓 반송처로 보내 주시기 바랍니다. 환불은 예매자 본인에게만 가능하며,
카드로 구매하신 경우 카드취소로 환불이 진행 됩니다.
• 취소 마감일 : 행사시작 전날(12월 24일_휴일전날) 반송처로 반송된 티켓까지만 접수됩니다.
• 티켓 반송처 : 13487 경기도 성남시 분당구 대왕판교로 645번길 16 NHN엔터테인먼트 플레이뮤지엄
• 배송된 티켓 반송시 발생되는 반송비용과 배송비는 구매자 부담입니다.
• 일반 우편으로 티켓 반송시 발생되는 문제(배송시 분실)는 예매처에서 책임지지 않습니다.
안전한 배송을 위해 등기우편을 권장합니다.
• 티켓 환불은 예매처의 규정에 의해 수수료가 적용됩니다. 예매 취소 시 예매처의 취소 및 환불규정을 확인 하시기 바랍니다.
• 취소수수료는 티켓도착날짜를 기준으로 적용됩니다.
• 현장에서 티켓을 입장밴드로 교환하면서 성인 인증절차가 있으며, 신분증(주민등록증, 운전면허증, 여권 등) 제시가 불가한 경우
입장이 불가 합니다. 이에 따른 티켓 취소/환불이 되지 않습니다.
• 공연 당일 일체의 예매 변경, 취소 및 환불은 불가합니다.
<티켓 양도>
• 본 행사 티켓의 양도는 자유롭게 가능합니다. 단, 예매 취소 시 환불은 최초 예매자 본인에게만 가능합니다.
• 대량의 티켓 또는 비매품 초대권을 양도(판매) 하여 이윤을 남기는 행위는 경범죄 제1항 47조에 의거한
불법판매로 판매자 및 구매자까지 경범죄 및 벌금형에 처할 수 있습니다.
이와 관련된 불법 행위 목격 시 주최측에 신고 부탁 드립니다. (신고처 : 070-7467-0771)
• 부득이 하게 양도 및 판매 또는 구입하실 경우 위조티켓 여부를 확인 해 주시기 바랍니다.
• 티켓 양도 및 개인간의 거래로 인한 피해는 주최사, 주관사, 후원사, 예매처에서는 책임지지 않습니다.
공식지정 예매처(티켓링크)를 통하여 안전하게 구매하시기 바랍니다.
<기타 관람 안내>
• 전 좌석 스탠딩 입니다. 별도의 좌석을 원할 경우 해당 클럽측에 문의 해 주세요.
• 주차는 별도의 구역에 주차 하셔야 합니다.
• 행사장 내 공식 포토그래퍼가 촬영한 사진 및 영상에 관한 저작권은 행사 주최측에 있으며,
차후에 행사와 관련된 모든 홍보물 및 마케팅에 활용 될 수 있습니다.
• 행사장 입장과 동시에 본인이 촬영된 초상저작물인 사진 및 동영상 등을
주최/주관사측에게 초상권(공표거절권, 초상영리권)을 사용 동의하는 것으로 합니다.
단, 촬영 시 거절 할 수 있습니다.
• 주위 관객에게 피해를 주거나 사회적으로 용인되지 않는 행동이 발견된 경우 즉시 퇴장 조치 됩니다.
• 귀중품 보관에 주의하여 주시기 바랍니다. 행사장 내/외에서 본인의 부주의로 인한 도난, 사건, 사고 등에 대해서
주최사, 클럽, 아티스트 측에서 책임을 지지 않습니다
기획사 정보
주최 : 홍대문화관광협회
주관 : 넷컴바인주식회사
협찬 : mumur, 홍대걷고싶은거리 상인회
문의 : 넷컴바인주식회사, 070-7467-0771"
45735,https://image.toast.com/aaaaab/ticketlink/TKL_9/imu_main.jpg,이무지치 신년음악회 with 파사렐라(반도네온) - 대구 티켓오픈 안내,,2024.01.26,2024.01.26,,,,,,,,공연설명 없음
45749,https://image.toast.com/aaaaab/ticketlink/TKL_6/wind_main1224.jpg,"'뮤지컬, 바람이 불어오는 곳 2015 일산' 티켓오픈안내",,2024.01.22,2024.01.31,,,,,,,,"고 김광석이 부른 주옥같은 명곡을 소재로 한 최초의 뮤지컬
언론의 호평과 관객들의 찬사를 받은 주크박스 뮤지컬의 새로운 모델
1. 화려한 무대기술에 의존하기보다는 소극장의 담백한 무대 - 시각의 어쿠스틱.
2. 어쿠스틱한 음악이 배우들의 라이브 연주로 펼쳐지는 무대 - 청각의 어쿠스틱.
3. 소극장 라이브 콘서트와 삶의 이야기가 어우러지는 신개념 뮤지컬 - 오감의 어쿠스틱.
꿈을 이야기하고 노래하며 일상에 지친 사람들의 가슴을 따뜻하게 하는
2015년 최고의 feeling & heeling 뮤지컬.
김광석이 부른 노래가 가진 감성을 그대로 담아낸 한 편의 수채화 같은 뮤지컬.
'그의 노래에 담겼던 당신의 기억을 열어드리겠습니다.'
기획사 정보
주최 :  LP STORY
주관 : 뮤직 쥬 엔터테인먼트
제작 :  LP STORY, FeelAndRain
공동제작 : 예그리 씨어터
협찬 : ㈜ 슈나이더, ㈜ 수성 고량주
후원 : 문화체육관광부, 한국문화예술위원회
문의 : 02-548-5956"
45855,https://image.toast.com/aaaaab/ticketlink/TKL_5/mw_poster(2).jpg,연극 <그남자 그여자> 3월티켓 오픈 안내,,2024.07.10,2024.03.31,,,,,,,,"“서로 다른 언어로 사랑을 말하다.” 연극 <그남자 그여자>
2007년 1월 26일 초연을 올린 연극 <그남자 그여자>는 관객들의 뜨거운 사랑으로 벌써 올해로 9주년을 맞는 명실상부 대학로의 대표 연극이 되었다. 스타배우가 출연하지는 않지만 회차를 거듭할수록 안정된 연출과 탄탄한 구성에 매료된 관객들의 예매처 관람 후기 게시판과 카페 후기가 게시판을 뜨겁게 달구고 있다.
‘내 인생 최고의 연극, 웃음과 눈물 그리고 감동을 모두 안겨주는 연극, 웃음이 멈추지 않는 행복한 연극’ 이라는 평이 줄을 이으며 9년이 지난 지금까지도 여전히 많은 관객들이 찾고 있다.
오래된 연인에게는 조금 뜸해진 그들의 사랑을 다시 ‘되감기’ 해주는 역할을, 한창 사랑하고 있는 연인들에게는 찬란한 지금의 순간을 잠시 생각하게 해주는 ‘일시정지’ 역할을, 헤어짐을 가진 뒤 다시 사랑을 시작하려는 연인들에게는 그들이 겪은 슬픔의 시간들을 잊고 다시금 새롭게 시작하게 하는 ‘녹화’의 역할로서 자리매김 하였다.
［공연줄거리］
순진한 대학생 영민은 같은 대학을 다니는 지원을 우연히 버스 정류장에서 보고 첫눈에 반하여, 매일 다섯 정거장이나 떨어진 버스 정류장까지 와서 그녀와 함께 버스를 타고 등교한다. 한편 영민의 존재를 눈치챈 선머슴 같던 지원도 예전과는 달리 외모에 신경을 쓰기 시작한다.
배 바지에 커피를 숭늉처럼 마시고 까만 뿔테 안경을 쓴 수더분한 인상의 평범한 샐러리맨 영훈은 영민이의 형. 같은 회사에 다니는 선애를 사랑하지만 매력적인 그녀를 옆에서 바라보기만 한다. 선애 역시 이상형과 정반대인 영훈을 사랑하게 되지만, 선뜻 고백하지 못하고 영훈의 주위를 맴돌기만 할 뿐이다
영민은 버스에 떨어뜨린 지원의 지갑을 돌려주는 것을 핑계로 조심스레 그녀에게 말을 건네고, 영훈은 선애의 마음을 눈치채고 용기 내어 선애에게 데이트 신청을 함으로써 두 커플의 설레는 첫 데이트가 시작된다.
최고의 크리스마스를 함께 보낸 영민과 지원, 영훈과 선애는 서로의 마음을 확인하면서 행복한 만남을 시작하게 되고, 영민과 영훈 형제는 서로에게 다가온 사랑의 시작을 기뻐한다.
두 커플은 때론 다투기도, 때론 착한 거짓말도 하면서 예쁜 사랑을 키워나간다.
그러던 어느 날, 학과 선배로 인해 영민과 지원 사이에 작은 오해가 생기고, 결혼에 대한 의견 차이로 영훈과 선애의 사이에 위기가 찾아온다. 서로를 그리워하지만, 서로에 대한 오해로 힘들어 하던 두 커플은 그렇게 점점 멀어져 가고 시간도 흘러간다.
그리움과 사랑은 한걸음 차이라는 것을 알지만, 쉽게 용기를 내지 못하는 영민과 지원, 그리고 영훈과 선애. 영민은 군대를 지원하고, 선애는 미국 지사 근무를 지원함으로써 그들 앞에 놓인 사랑의 아픔을 피하려고만 하는데…"
45966,https://image.toast.com/aaaaab/ticketlink/TKL_2/fam_main0311.jpg,초능력 패밀리 Episode1. 만남 티켓오픈안내,,2024.03.10,,,,,,,,,"연극과 마술의 완벽한 조합!
단순한 마술이라 생각하면 오.산.입니다..!
시작 전부터 화제였다!
신선하고 독특하고 발상이 죽인다!
놓쳐서는 안될 포인트 Top3
1. 우울, 스트레스 치료 전문 프로그램도 이 공연에 무릎꿇다!!
국내 공연계 최초 힐링 프로젝트 공연! 의심해도 소용없다. 이미 반전이다. 눈치보지 말고 호탕하게 한 판 웃자.
2. 스마트 세대에 걸맞게 스마트한 영웅의 부활!
스마트 세대에 절대 스마트하지 않은 사람들을 겨냥하여 삶의 의미를 느끼게 한다.
3. 무대와 객석을 넘나드는 옴니버스식 시츄에이션 코미디연극이지만, 스토리를 까면 깔수록 기막힌 타이밍에
딱딱 맞아 떨어지는 옴니버스식 시츄에이션 코미디가 절묘한 하모니를 이룬다."
46095,https://image.toast.com/aaaaab/ticketlink/TKL_3/20160419.jpg,못생겨서 죄송합니다 티켓오픈안내,,2024.05.13,2024.07.17,,,,,,,,"성격은 딩동댕~! 얼굴은 내동댕~!
아니생긴 그녀, 오늘도 웃음으로 화장한다."
46100,https://image.toast.com/aaaaab/ticketlink/TKL_1/moon_main0420.jpg,[단독판매] 대구시립국악단 제180회 정기연주회 [대구광주교류음악회],,2024.05.12,2024.05.12,,,,,,,,공연설명 없음
46343,https://image.toast.com/aaaaab/ticketlink/TKL_1/kalos_main.jpg,[단독판매] 칼로스 플루트 앙상블 창단 10주년 기념 콘서트 - 대구 티켓오픈 안내,,2024.08.05,2024.08.05,,,,,,,,공연설명 없음
46325,https://image.toast.com/aaaaab/ticketlink/TKL_9/jsm_main0706.jpg,라프리마돈나 (조수미 국제무대 데뷔 30주년 기넘콘서트) 티켓오픈안내,,2024.08.26,2024.08.26,,,,,,,,"조수미 국제 무대 데뷔 30th Special concert.
그녀를 세계적으로 유명하게 만든 곡들 & 특별한 의미가 담긴 곡들을 다시 만나다!
세계 5대 오페라 주연! 동양인 최초 국제 6개 콩쿠르 석권! 동양인 최초 황금기러기상(최고의 소프라노),
동양인 최초 그래미상 수상(클래식부문) 등 수많은 최초와 최고의 타이틀을 가지고 있는 조수미!
국제 오페라 데뷔 30주년을 맞이하여 그녀의 음악을 집대성하여 꾸며질 무대이다.
조수미가 국제 무대에 데뷔한 순간부터 지금까지 그녀의 삶에 녹아 든 그녀의 음악 철학과 음악에 대한 자세,
음악적 깊이와 마주하는 자리이다. 세계를 감동시키고 한국을 대표하는 음악가로서 자리매김하기까지, 그녀의 음악적 행보를 되짚어 본다."
